Name,Gender,Rank,Score,Count
Ada,f,,0,0
Adele,f,,0,0
Adriana,f,,0,0
Alexandra,f,,0,0
Alice,f,,0,0
Amelia,f,,0,0
Amelie,f,,0,0
Annelie,f,,0,0
Antonia,f,,0,0
Ariane,f,,0,0
Ava,f,,0,0
Carla,f,,0,0
Carlotta,f,,-500,0
Cecilia,f,,0,0
Celia,f,,0,0
Charlotta,f,,-500,0
Charlotte,f,,-500,0
Clara,f,,-500,0
Coco,f,,0,0
Cora,f,,0,0
Cosima,f,,0,0
Dana,f,,0,0
Daria,f,,0,0
Dora,f,,0,0
Dorothea,f,,0,0
Elif,f,,0,0
Elisabeth,f,,0,0
Elise,f,,0,0
Ella,f,,0,0
Emilia,f,,0,0
Emilie,f,,0,0
Emma,f,,0,0
Enie,f,,0,0
Eva,f,,0,0
Fabienne,f,,0,0
Felicia,f,,0,0
Fina,f,,0,0
Flora,f,,0,0
Florentine,f,,0,0
Franziska,f,,0,0
Frieda,f,,0,0
Greta,f,,0,0
Hanna,f,,-500,0
Hanne,f,,-500,0
Hedwig,f,,0,0
Helene,f,,0,0
Henny,f,,0,0
Henriette,f,,0,0
Henrike,f,,0,0
Hermine,f,,0,0
Ida,f,,0,0
Jana,f,,0,0
Janne,f,,-500,0
Jasmin,f,,0,0
Jenny,f,,0,0
Jette,f,,0,0
Jill,f,,0,0
Johanna,f,,-500,0
Josephine,f,,0,0
Julia,f,,0,0
Juna,f,,0,0
Karolina,f,,0,0
Käthe,f,,0,0
Katja,f,,-500,0
Kristin,f,,0,0
Lara,f,,0,0
Larissa,f,,0,0
Lea,f,,0,0
Lena,f,,-500,0
Lene,f,,0,0
Leonie,f,,0,0
Leonora,f,,0,0
Levke,f,,0,0
Liddy,f,,0,0
Lilia,f,,0,0
Lilly,f,,0,0
Lina,f,,0,0
Linda,f,,0,0
Linn,f,,0,0
Linnea,f,,0,0
Lisa,f,,-500,0
Lisann,f,,0,0
Lisbeth,f,,0,0
Liv,f,,0,0
Livia,f,,0,0
Lotta,f,,-500,0
Lotte,f,,-500,0
Lucie,f,,0,0
Lucy ,f,,-500,0
Luisa,f,,-500,0
Luise,f,,-500,0
Luna,f,,0,0
Lydia,f,,0,0
Magdalena,f,,0,0
Maja,f,,0,0
Mara,f,,0,0
Maria,f,,0,0
Marie,f,,0,0
Marieke,f,,0,0
Marla,f,,0,0
Marlene,f,,0,0
Marta,f,,0,0
Maryam,f,,-500,0
Mathea,f,,0,0
Matilda,f,,0,0
Maxima,f,,0,0
Merle,f,,0,0
Meta,f,,0,0
Mia,f,,0,0
Mieke,f,,0,0
Mika,f,,0,0
Mila,f,,0,0
Minna,f,,0,0
Mira,f,,0,0
Miriam,f,,-500,0
Mirja,f,,-500,0
Natalia,f,,0,0
Nele,f,,0,0
Nelly,f,,0,0
Nike,f,,0,0
Nora,f,,0,0
Nova,f,,0,0
Ottilie,f,,0,0
Patricia,f,,0,0
Paula,f,,0,0
Pauline,f,,0,0
Philine,f,,0,0
Philippa,f,,0,0
Pia,f,,-500,0
Rebekka,f,,-500,0
Ronja,f,,0,0
Ruby,f,,0,0
Ruth,f,,-500,0
Sarah,f,,0,0
Sina,f,,0,0
Sophia,f,,-500,0
Sophie,f,,-500,0
Stina,f,,0,0
Tessa,f,,0,0
Thea,f,,0,0
Theresa ,f,,0,0
Tilda,f,,0,0
Valentina,f,,0,0
Vanessa,f,,0,0
Vera,f,,0,0
Victoria,f,,0,0
Viola,f,,0,0
Wiebke,f,,0,0
Wilhelmine,f,,0,0
Aaron,m,,0,0
Adam,m,,0,0
Adrian,m,,0,0
Albert,m,,0,0
Alexander,m,,0,0
Amon,m,,0,0
Andreas,m,,0,0
Ansgar,m,,0,0
Anton,m,,0,0
Armin,m,,0,0
Arne,m,,0,0
Arno,m,,0,0
Artur ,m,,0,0
August,m,,0,0
Bastian,m,,0,0
Bela,m,,0,0
Ben,m,,0,0
Benedikt,m,,0,0
Benjamin,m,,0,0
Benno,m,,0,0
Bjarne,m,,0,0
Björn,m,,0,0
Caspar,m,,0,0
Cedric,m,,0,0
Christian,m,,0,0
Christoph,m,,0,0
Christopher,m,,0,0
Clemens,m,,0,0
Cornelius,m,,0,0
Damian,m,,0,0
Daniel,m,,-500,0
Darius,m,,0,0
David,m,,-500,0
Demian,m,,0,0
Dominik,m,,0,0
Eliah,m,,-500,0
Elias,m,,-500,0
Emanuel,m,,0,0
Emil,m,,0,0
Emilian,m,,0,0
Emir,m,,0,0
Enno,m,,0,0
Erik,m,,0,0
Ernst,m,,0,0
Falk,m,,0,0
Felix,m,,0,0
Ferdinand,m,,0,0
Fiete,m,,0,0
Frank,m,,0,0
Frederik,m,,0,0
Friedrich,m,,0,0
Fritz,m,,0,0
Gabriel,m,,0,0
Georg,m,,0,0
Gerhard,m,,-500,0
Gregor,m,,0,0
Gustav,m,,0,0
Hagen,m,,0,0
Hannes,m,,0,0
Hans,m,,0,0
Heinrich,m,,0,0
Hendrik,m,,0,0
Henning,m,,0,0
Henrik,m,,0,0
Henry,m,,0,0
Holger,m,,0,0
Hugo,m,,0,0
Ilja,m,,0,0
Jakob,m,,-500,0
James,m,,0,0
Jan,m,,0,0
Jannes,m,,0,0
Jannik,m,,0,0
Janosch,m,,0,0
Jasper,m,,0,0
Jens,m,,0,0
Jesse,m,,0,0
Johann,m,,0,0
Johannes,m,,0,0
Jonah,m,,0,0
Jonas,m,,0,0
Jonathan,m,,0,0
Joost ,m,,0,0
Jörg,m,,-500,0
Joris,m,,0,0
Joscha,m,,0,0
