Name,Gender,Rank,Score
Emma,f,1,0
Mia,f,2,0
Hannah / Hanna,f,3,0
Sofia / Sophia,f,4,0
Emilia,f,5,0
Anna,f,6,0
Lena,f,7,0
Lea / Leah,f,8,0
Emily / Emilie,f,9,0
Marie,f,10,0
Lina,f,11,0
Leonie,f,12,0
Amelie,f,13,0
Sophie / Sofie,f,14,0
Luisa / Louisa,f,15,0
Johanna,f,16,0
Nele / Neele,f,17,0
Laura,f,18,0
Lilly / Lilli,f,19,0
Lara,f,20,0
Clara / Klara,f,21,0
Mila,f,22,0
Leni,f,23,0
Maja / Maya,f,24,0
Charlotte,f,25,0
Sarah / Sara,f,26,0
Frieda / Frida,f,27,0
Ida,f,28,0
Greta,f,29,0
Pia,f,30,0
Lotta,f,31,0
Lia / Liah / Lya,f,32,0
Mathilda / Matilda,f,33,0
Ella,f,34,0
Melina,f,35,0
Lisa,f,36,0
Julia,f,37,0
Paula,f,38,0
Alina,f,39,0
Mira,f,40,0
Zoe / Zoé,f,41,0
Helena,f,42,0
Marlene,f,43,0
Emely / Emelie,f,44,0
Elisa,f,45,0
Victoria / Viktoria,f,46,0
Isabell / Isabel / Isabelle,f,47,0
Isabella,f,48,0
Jana,f,49,0
Amy,f,50,0
Mara / Marah,f,51,0
Finja / Finnja,f,52,0
Josephine/ Josefine,f,53,0
Katharina,f,54,0
Nora,f,55,0
Theresa / Teresa,f,56,0
Maria,f,57,0
Antonia,f,58,0
Jasmin / Yasmin,f,59,0
Stella,f,60,0
Pauline,f,61,0
Luise / Louise,f,62,0
Annika,f,63,0
Anni / Annie / Anny,f,64,0
Lucy / Lucie,f,65,0
Jule,f,66,0
Merle,f,67,0
Carla / Karla,f,68,0
Eva,f,69,0
Milena,f,70,0
Martha / Marta,f,71,0
Elena,f,72,0
Fiona,f,73,0
Melissa,f,74,0
Franziska,f,75,0
Luna,f,76,0
Magdalena,f,77,0
Nina,f,78,0
Annabell / Annabelle,f,79,0
Romy,f,80,0
Carlotta / Karlotta,f,81,0
Mina,f,82,0
Paulina,f,83,0
Ronja,f,84,0
Zoey,f,85,0
Chiara,f,86,0
Helene,f,87,0
Selina,f,88,0
Maila / Mayla,f,89,0
Fabienne,f,90,0
Elina,f,91,0
Jette,f,92,0
Sina / Sinah,f,93,0
Jolina / Joelina,f,94,0
Elif,f,95,0
Elisabeth,f,96,0
Linda,f,97,0
Miriam,f,98,0
Valentina,f,99,0
Lotte,f,100,0
Vanessa,f,101,0
Aylin / Eileen / Aileen / Ayleen,f,102,0
Rosalie,f,103,0
Celina,f,104,0
Olivia,f,105,0
Kira / Kyra,f,106,0
Carolin / Caroline / Karoline,f,107,0
Juna / Yuna,f,108,0
Samira,f,109,0
Joleen,f,110,0
Lenja / Lenya,f,111,0
Marla,f,112,0
Angelina,f,113,0
Hailey / Haylie,f,114,0
Thea,f,115,0
Anastasia,f,116,0
Leila / Leyla,f,117,0
Luana,f,118,0
Alexandra,f,119,0
Amelia,f,120,0
Ela,f,121,0
Lana,f,122,0
Marleen / Marlen,f,123,0
Amalia,f,124,0
Leticia / Letizia,f,125,0
Lene,f,126,0
Julie,f,127,0
Tessa,f,128,0
Lucia,f,129,0
Aaliyah / Aliya,f,130,0
Aurelia,f,131,0
Kim,f,132,0
Alissa / Alyssa,f,133,0
Elli / Elly,f,134,0
Mona,f,135,0
Diana,f,136,0
Vivien / Vivienne,f,137,0
Tabea,f,138,0
Amira,f,139,0
Mariella,f,140,0
