Name,Gender,Rank,Score
Alexis,f,,0
Alicja,f,,0
Allegra,f,,0
Amara,f,,0
Andrea,f,,0
Anneke,f,,0
Chiara / Kiara,f,,0
Coco,f,,0
Collien,f,,0
Cosima,f,,0
Daniela,f,,0
Denise,f,,0
Dorothea,f,,0
Dottie,f,,0
Elli / Elly / Ellie,f,,0
Fanny,f,,0
Frederike,f,,0
Iliana,f,,0
Ines,f,,0
Ivy,f,,0
Joana / Joanna,f,,0
Joline / Joeline / Jolin,f,,0
Josefina / Josephina,f,,0
Julika,f,,0
Leevke,f,,0
Lilou,f,,0
Mailin,f,,0
Mareike,f,,0
Merve,f,,0
Mette,f,,0
Nadine,f,,0
Naila,f,,0
Nala / Nalah,f,,0
Nisanur,f,,0
Nova,f,,0
Philine,f,,0
Phoebe,f,,0
Polly,f,,0
Rafaela / Raphaela,f,,0
Rana,f,,0
Runa,f,,0
Sabrina,f,,0
Seraphina,f,,0
Stacy,f,,0
Tanja,f,,0
Timea,f,,0
Violetta,f,,0
Viviana,f,,0
Vivien / Vivienne / Vivian,f,,0
Wiebke,f,,0
Yasmina,f,,0
Ylva,f,,0
