Name,Gender,Rank,Score,Count
Abby,f,,0,0
Ada,f,,0,0
Adele,f,,0,0
Adelina,f,,0,0
Adriana,f,,0,0
Aileen ,f,,0,0
Aimee,f,,0,0
Alba,f,,0,0
Alea,f,,0,0
Alena,f,,0,0
Alessia,f,,0,0
Alexa,f,,0,0
Alexandra,f,,0,0
Alexia,f,,0,0
Alice,f,,0,0
Alicia,f,,0,0
Alissa,f,,0,0
Allegra,f,,0,0
Alma,f,,0,0
Amalia,f,,0,0
Amanda,f,,0,0
Amelia,f,,0,0
Amelie,f,,0,0
Amira,f,,0,0
Amy,f,,0,0
Anastasia,f,,0,0
Andrea,f,,0,0
Angelina,f,,0,0
Anita,f,,0,0
Anja,f,,0,0
Ann,f,,0,0
Anna,f,,-500,0
Annabella,f,,0,0
Annalena,f,,0,0
Anne,f,,0,0
Anneke,f,,0,0
Annelie,f,,0,0
Annemarie,f,,0,0
Anni,f,,-500,0
Annika,f,,-500,0
Anouk,f,,0,0
Antonia,f,,0,0
Aria,f,,0,0
Ariane,f,,0,0
Ashley,f,,0,0
Aurelia,f,,0,0
Aurora,f,,0,0
Ava,f,,0,0
Ayla,f,,0,0
Bella,f,,0,0
Betty,f,,0,0
Bianca,f,,0,0
Cara,f,,0,0
Carla,f,,0,0
Carlotta,f,,-500,0
Cassandra,f,,0,0
Cataleya,f,,0,0
Cecilia,f,,0,0
Celia,f,,0,0
Celine,f,,0,0
Ceylin,f,,0,0
Charlotta,f,,-500,0
Charlotte,f,,-500,0
Cheyenne,f,,0,0
Chiara,f,,0,0
Christina,f,,0,0
Claire,f,,0,0
Clara,f,,0,0
Clarissa,f,,0,0
Cleo,f,,0,0
Coco,f,,0,0
Collien,f,,0,0
Cora,f,,0,0
Cosima,f,,0,0
Dalia,f,,0,0
Dana,f,,0,0
Daniela,f,,0,0
Daria,f,,0,0
Davina,f,,0,0
Delia,f,,0,0
Denise,f,,0,0
Diana,f,,0,0
Dilay,f,,0,0
Dina,f,,0,0
Dorothea,f,,0,0
Edda,f,,0,0
Ela,f,,0,0
Elaine,f,,0,0
Elea,f,,0,0
Elena,f,,0,0
Eleni,f,,0,0
Eleonora,f,,0,0
Eliana,f,,0,0
Elif,f,,0,0
Elina,f,,0,0
Elisa,f,,0,0
Elisabeth,f,,0,0
Elise,f,,0,0
Eliza,f,,0,0
Ella,f,,0,0
Ellen,f,,0,0
Elli,f,,0,0
Elsa,f,,0,0
Emilia,f,,0,0
Emilie,f,,0,0
Emily,f,,0,0
Emina,f,,0,0
Emma,f,,0,0
Emmi,f,,0,0
Enie,f,,0,0
Enna,f,,0,0
Enni,f,,0,0
Enya,f,,0,0
Erna,f,,0,0
Eslem,f,,0,0
Estelle,f,,0,0
Esther,f,,0,0
Eva,f,,0,0
Evelina,f,,0,0
Eveline,f,,0,0
Ewa,f,,0,0
Eylül,f,,0,0
Fabienne,f,,0,0
Fanny,f,,0,0
Fatma,f,,0,0
Fee,f,,0,0
Felia,f,,0,0
Felicia,f,,0,0
Felicitas,f,,0,0
Felina,f,,0,0
Femke,f,,0,0
Fenja,f,,0,0
Fina,f,,0,0
Fine,f,,0,0
Finja,f,,0,0
Fiona,f,,0,0
Flora,f,,0,0
Florentine,f,,0,0
Franka,f,,0,0
Franziska,f,,0,0
Frederike,f,,0,0
Freya,f,,0,0
Frieda,f,,0,0
Friederike,f,,0,0
Fritzi,f,,0,0
Gina,f,,0,0
Gloria,f,,0,0
Grace,f,,0,0
Greta,f,,0,0
Hailey,f,,0,0
Hanna,f,,-500,0
Hanne,f,,-500,0
Hedda,f,,0,0
Heidi,f,,0,0
Helena,f,,0,0
Helene,f,,0,0
Henriette,f,,0,0
Henrike,f,,0,0
Hermine,f,,0,0
Hilda,f,,0,0
Holly,f,,0,0
Ida,f,,0,0
Iliana,f,,0,0
Ina,f,,0,0
Ines,f,,0,0
Inga,f,,0,0
Isa,f,,0,0
Isabell,f,,0,0
Isabella,f,,0,0
Ivy,f,,0,0
Jana,f,,0,0
Janina,f,,0,0
Janna,f,,0,0
Janne,f,,-500,0
Jasmin,f,,0,0
Jasmina,f,,0,0
Jenna,f,,0,0
Jennifer,f,,0,0
Jenny,f,,0,0
Jessica,f,,0,0
Jette,f,,0,0
Jill,f,,0,0
Joanna,f,,0,0
Johanna,f,,-500,0
Joline,f,,0,0
Jonna,f,,0,0
Josephina,f,,0,0
Josephine,f,,0,0
Josie,f,,0,0
Joy,f,,0,0
Judith,f,,0,0
Jule,f,,0,0
Julia,f,,0,0
Juliana,f,,0,0
Juliane,f,,0,0
Juna,f,,0,0
Karina,f,,0,0
Karolina,f,,0,0
Karoline,f,,0,0
Kate,f,,0,0
